Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translation,Related_terms,Drafted by,Originally Drafted by,trans_title
General Data Protection Regulation (GDPR) ," A legal framework of seven principles implemented across the European Union (EU) that aims to safeguard individuals’ information. The framework seeks to commission citizens with control over their personal data, whilst regulating the parties involved in storing and processing these data. This set of legislation dictates the free movement of individuals’ personal information both within and outside the EU and must be considered by researchers when designing and running studies.","  \[@Crutzen2019\], \[@ICO2021\], \[@EU\_DataProtection\]", Graham Reid, Elizabeth Collins; Mahmoud Elsherif; Christopher Graham; Sam Parsons," A legal framework of seven principles implemented across the European Union (EU) that aims to safeguard individuals’ information. The framework seeks to commission citizens with control over their personal data, whilst regulating the parties involved in storing and processing these data. This set of legislation dictates the free movement of individuals’ personal information both within and outside the EU and must be considered by researchers when designing and running studies.", Anonymity; Data Management Plan (DMP); Data sharing; Repeatability; Replicability; Reproducibility,NA,NA,GDPR
Generalizability ," Generalizability refers to how applicable a study’s results are to broader groups of people, settings, or situations they study and how the findings relate to this wider context (Frey, 2018; Kukull & Ganguli, 2012)."," \[@EsterlingEtAl2021\], \[@Generalizability2018\], \[@Kukull2012\], \[@LeBel2017\], \[@Nosek2020\], \[@Yarkoni2020\]",NA, Adrien Fillon; Matt Jaquiery; Tina Lonsdorf; Sam Parsons; Julia Wolska," Generalizability refers to how applicable a study’s results are to broader groups of people, settings, or situations they study and how the findings relate to this wider context (Frey, 2018; Kukull & Ganguli, 2012)."," Conceptual replication; External Validity; Opportunistic sampling; Sampling bias; WEIRD **Alternative definition:** Applying modified materials and/or analysis pipelines to new data or samples to answer the same hypothesis (different materials, different data) to test how generalizable the effect under study is (The Turing Way Community & Scriberia, 2021). **Related terms to alternative definition:** (if applicable): Conceptual Replication", Aoife O’Mahony,NA,NA
Gift (or Guest) Authorship ," The inclusion in an article’s author list of individuals who do not meet the criteria for authorship. As authorship is associated with benefits including peer recognition and financial rewards, there are incentives for inclusion as an author on published research. Gifting authorship, or extending authorship credit to an individual who does not merit such recognition, can be intended to help the gift recipient, repay favors (including reciprocal gift authorship), maintain personal and professional relationships, and enhance chances of publication. Gift authorship is widely considered an unethical practice."," \[@BhopalEtAl1997\], \[@ICMJE2019\]", Bradley Baker, Helena Hartmann; Aoife O’Mahony; Sam Parsons; Charlotte R. Pennington; Flávio Azevedo," The inclusion in an article’s author list of individuals who do not meet the criteria for authorship. As authorship is associated with benefits including peer recognition and financial rewards, there are incentives for inclusion as an author on published research. Gifting authorship, or extending authorship credit to an individual who does not merit such recognition, can be intended to help the gift recipient, repay favors (including reciprocal gift authorship), maintain personal and professional relationships, and enhance chances of publication. Gift authorship is widely considered an unethical practice.", Authorship; CRediT,NA,NA,or Guest
Git ," A software package for tracking changes in a local set of files (local version control), initially developed by Linus Torvalds. In general, it is used by programmers to track and develop computer source code within a set directory, folder or a file system. Git can access remote repository hosting services (e.g. GitHub) for remote version control that enables collaborative software development by uploading contributions from a local system. This process found its way into the scientific process to enable open data, open code and reproducible analyses."," \[@Kalliamvakou2014\], \[@ScopatzHuff2015\], \[@Vuorre2018\], \[@GitInitialRevision\]", Emma Norris, Adrien Fillon; Bettina M.J. Kern; Dominik Kiersz; Robert M. Ross," A software package for tracking changes in a local set of files (local version control), initially developed by Linus Torvalds. In general, it is used by programmers to track and develop computer source code within a set directory, folder or a file system. Git can access remote repository hosting services (e.g. GitHub) for remote version control that enables collaborative software development by uploading contributions from a local system. This process found its way into the scientific process to enable open data, open code and reproducible analyses.", GitHub; Repository; Version control,NA,NA,NA
Goodhart’s Law ," A term coined by economist Charles Goodhart to refer to the observation that measuring something inherently changes user behaviour. In relation to examination performance, Strathern (1997) stated that “when a measure becomes a target, it ceases to be a good measure” (p. 308). Applied to open scholarship, and the structure of incentives in academia, Goodhart’s Law would predict that metrics of scientific evaluation will likely be abused and exploited, as evidenced by Muller (2019)",NA, Adam Parker,Sam Parsons; Flávio Azevedo  ### ---  ### **H** {#h}," A term coined by economist Charles Goodhart to refer to the observation that measuring something inherently changes user behaviour. In relation to examination performance, Strathern (1997) stated that “when a measure becomes a target, it ceases to be a good measure” (p. 308). Applied to open scholarship, and the structure of incentives in academia, Goodhart’s Law would predict that metrics of scientific evaluation will likely be abused and exploited, as evidenced by Muller (2019)","Campbell's law; DORA; Reification (fallacy) **Reference (s):** \[@Muller2018\], \[@Strathern1997\]",NA,NA,NA
H-index ," Hirsch’s index, abbreviated as H-index, intends to measure both productivity and research impact by combining the number of publications and the number of citations to these publications. Hirsch (2005) defined the index as “the number of papers with citation number ≥ *h*” (p. 16569). That is, the greatest number such that an author (or journal) has published at least that many papers that have been cited at least that many times. The index is perceived as a superior measure to measures that only assess, for instance, the number of citations and number of publications but this index has been criticised for the purpose of researcher assessment (e.g. Wendl, 2007)."," \[@Hirsch2005\], \[@Wendl2007\]",NA, Bradley J. Baker; Mahmoud M. Elsherif; Brett J. Gall; Charlotte R. Pennington," Hirsch’s index, abbreviated as H-index, intends to measure both productivity and research impact by combining the number of publications and the number of citations to these publications. Hirsch (2005) defined the index as “the number of papers with citation number ≥ *h*” (p. 16569). That is, the greatest number such that an author (or journal) has published at least that many papers that have been cited at least that many times. The index is perceived as a superior measure to measures that only assess, for instance, the number of citations and number of publications but this index has been criticised for the purpose of researcher assessment (e.g. Wendl, 2007).", Citation; DORA; I10-index; Impact, Jacob Miranda,NA,NA
Hackathon ," An organized event where experts, designers, or researchers collaborate for a relatively short amount of time to work intensively on a project or problem. The term is originally borrowed from computer programmer and software development events whose goal is to create a fully fledged product (resources, research, software, hardware) by the end of the event, which can last several hours to several days.", \[@Kienzler2017\], Flávio Azevedo, Tsvetomira Dumbalska; Brett J. Gall; Emma Norris," An organized event where experts, designers, or researchers collaborate for a relatively short amount of time to work intensively on a project or problem. The term is originally borrowed from computer programmer and software development events whose goal is to create a fully fledged product (resources, research, software, hardware) by the end of the event, which can last several hours to several days.", Collaboration; Edithaton,NA,NA,NA
HARKing ," A questionable research practice termed ‘Hypothesizing After the Results are Known’ (HARKing). “HARKing is defined as presenting a post hoc hypothesis (i.e., one based on or informed by one's results) in a research report as if it was, in fact, *a priori*” (Kerr, 1998, p. 196). For example, performing subgroup analyses, finding an effect in one subgroup, and writing the introduction with a ‘hypothesis’ that matches these results."," \[@Kerr1998\], \[@Nosek2014\]",NA, Matt Jaquiery; Charlotte R. Pennington; Martin Vasilev; Flávio Azevedo," A questionable research practice termed ‘Hypothesizing After the Results are Known’ (HARKing). “HARKing is defined as presenting a post hoc hypothesis (i.e., one based on or informed by one's results) in a research report as if it was, in fact, *a priori*” (Kerr, 1998, p. 196). For example, performing subgroup analyses, finding an effect in one subgroup, and writing the introduction with a ‘hypothesis’ that matches these results.", Analytic Flexibility; Confirmatory analyses; Exploratory data analysis; Fudging; Garden of forking paths; P-hacking; Questionable Research Practices or Questionable Reporting Practices (QRPs), Beatrix Arendt,NA,NA
Hidden Moderators ," Contextual conditions that can, unbeknownst to researchers, make the results of a replication attempt deviate from those of the original study. Hidden moderators are sometimes invoked to explain (away) failed replications. Also called hidden assumptions.", \[@Zwaan2018\], Ali H. Al-Hoorie, Mahmoud Elsherif; Sam Parsons," Contextual conditions that can, unbeknownst to researchers, make the results of a replication attempt deviate from those of the original study. Hidden moderators are sometimes invoked to explain (away) failed replications. Also called hidden assumptions.", Auxiliary Hypothesis,NA,NA,NA
Hypothesis ," A hypothesis is an unproven statement relating the connection between variables (Glass & Hall, 2008\) and can be based on prior experiences, scientific knowledge, preliminary observations, theory and/or logic. In scientific testing, a hypothesis can be usually formulated with (e.g. a positive correlation) or without a direction (e.g. there will be a correlation). Popper (1959) posits that hypotheses must be falsifiable, that is, it must be conceivably possible to prove the hypothesis false. However, hypothesis testing based on falsification has been argued to be vague, as it is contingent on many other untested assumptions in the hypothesis (i.e., auxiliary hypotheses). Longino (1990, 1992\) argued that ontological heterogeneity should be valued more than ontological simplicity for the biological sciences, which considers we should investigate differences between and within biological organisms."," \[@BellerBender2017\], \[@GlassHall2008\], \[@Longino1990\], \[@Longino1992\], \[@Popper1959\]",NA, Ali H. Al-Hoorie; Mahmoud Elsherif; Helena Hartmann; Charlotte R. Pennington**;** Graham Reid; Olly Robertson   ### **I** {#i}," A hypothesis is an unproven statement relating the connection between variables (Glass & Hall, 2008\) and can be based on prior experiences, scientific knowledge, preliminary observations, theory and/or logic. In scientific testing, a hypothesis can be usually formulated with (e.g. a positive correlation) or without a direction (e.g. there will be a correlation). Popper (1959) posits that hypotheses must be falsifiable, that is, it must be conceivably possible to prove the hypothesis false. However, hypothesis testing based on falsification has been argued to be vague, as it is contingent on many other untested assumptions in the hypothesis (i.e., auxiliary hypotheses). Longino (1990, 1992\) argued that ontological heterogeneity should be valued more than ontological simplicity for the biological sciences, which considers we should investigate differences between and within biological organisms.", Auxiliary Hypothesis; Confirmatory analyses; False negative result; False positive result; Modelling; Predictions; Quantitative research; Theory; Theory building; Type I error; Type II error, Ana Barbosa Mendes,NA,NA
i10-index , A research metric created by Google Scholar that represents the number of publications a researcher has with at least 10 citations., [https://guides.library.cornell.edu/impact/author-impact-10](https://guides.library.cornell.edu/impact/author-impact-10) \[@Cornell2020\],NA, Flávio Azevedo; Sam Parsons, A research metric created by Google Scholar that represents the number of publications a researcher has with at least 10 citations., Citation; DORA; H-index; Impact, Emma Norris,NA,NA
Ideological bias ," The idea that pre-existing opinions about the quality of research can depend on the ideological views of the author(s). One of the many biases in the peer review process, it expects that favourable opinions towards the research would be more likely if friends, collaborators, or scientists agree with an editor or reviewer’s political viewpoints (Tvina et al. 2019). This could potentially lead to a variety of conflicts of interest that undermine diverse perspectives, for example: speeding or delaying peer-review, or influencing the chances of an individual being invited to present their research, thus promoting their work.", \[@Tvina2019\],NA, Elizabeth Collins; Flávio Azevedo; Madeleine Ingham; Sam Parsons; Graham Reid," The idea that pre-existing opinions about the quality of research can depend on the ideological views of the author(s). One of the many biases in the peer review process, it expects that favourable opinions towards the research would be more likely if friends, collaborators, or scientists agree with an editor or reviewer’s political viewpoints (Tvina et al. 2019). This could potentially lead to a variety of conflicts of interest that undermine diverse perspectives, for example: speeding or delaying peer-review, or influencing the chances of an individual being invited to present their research, thus promoting their work.", Ad hominem bias; Peer review, Mahmoud Elsherif,NA,NA
Inclusion ," Inclusion, or inclusivity, refers to a sense of welcome and respect within a given collaborative project or environment (such as academia) where *diversity* simply indicates a wide range of backgrounds, perspectives, and experiences, efforts to increase *inclusion* go further to promote engagement and equal valuation among diverse individuals, who might otherwise be marginalized. Increasing inclusivity often involves minimising the impact of, or even removing, systemic barriers to accessibility and engagement.","\[@Calvert2019\], \[@MartinezAcosta2018\]",NA, Mahmoud Elsherif; Graham Reid; Kai Krautter; Suzanne L. K. Stewart; Flávio Azevedo," Inclusion, or inclusivity, refers to a sense of welcome and respect within a given collaborative project or environment (such as academia) where *diversity* simply indicates a wide range of backgrounds, perspectives, and experiences, efforts to increase *inclusion* go further to promote engagement and equal valuation among diverse individuals, who might otherwise be marginalized. Increasing inclusivity often involves minimising the impact of, or even removing, systemic barriers to accessibility and engagement.", Diversity; Equity; Social Justice, Ryan Millager,NA,NA
Incentive structure ," The set of evaluation and reward mechanisms (explicit and implicit) for scientists and their work. Incentivised areas within the broader structure include hiring and promotion practices, track record for awarding funding, and prestige indicators such as publication in journals with high impact factors, invited presentations, editorships, and awards. It is commonly believed that these criteria are often misaligned with the telos of science, and therefore do not promote rigorous scientific output. Initiatives like DORA aim to reduce the field’s dependency on evaluation criteria such as journal impact factors in favor of assessments based on the intrinsic quality of research outputs."," \[@Koole2012\], \[@Nosek2012b\], \[@Schonbrodt2019\], \[@Smaldino2016\]", Charlotte R. Pennington; Olmo van den Akker, Helena Hartmann; Flávio Azevedo; Robert M. Ross; Graham Reid; Suzanne L. K. Stewart," The set of evaluation and reward mechanisms (explicit and implicit) for scientists and their work. Incentivised areas within the broader structure include hiring and promotion practices, track record for awarding funding, and prestige indicators such as publication in journals with high impact factors, invited presentations, editorships, and awards. It is commonly believed that these criteria are often misaligned with the telos of science, and therefore do not promote rigorous scientific output. Initiatives like DORA aim to reduce the field’s dependency on evaluation criteria such as journal impact factors in favor of assessments based on the intrinsic quality of research outputs.", DORA; Metrics; Pressure; Publish or perish; Quantity; Reward structure; Scientific publications; Slow science; Structural factors,NA,NA,NA
Induction ," “Reasoning by drawing a conclusion not guaranteed by the premises; for example, by inferring a general rule from a limited number of observations. Popper believed that there was no such logical process; we may guess general rules but such guesses are not rendered even more probable by any number of observations. By contrast, Bayesians inductively work out the increase in probability of a hypothesis that follows from the observations.” Dienes (p. 164, 2008\)",\[@Dienes2008\],NA,," “Reasoning by drawing a conclusion not guaranteed by the premises; for example, by inferring a general rule from a limited number of observations. Popper believed that there was no such logical process; we may guess general rules but such guesses are not rendered even more probable by any number of observations. By contrast, Bayesians inductively work out the increase in probability of a hypothesis that follows from the observations.” Dienes (p. 164, 2008\)", Hypothesis, Alaa Aldoh,NA,NA
Interaction Fallacy ," A statistical error in which a formal test is not conducted to assess the difference between a significant and non-significant correlation (or other measures, such as Odds Ratio). This fallacy occurs when a significant and non-significant correlation coefficient are assumed to represent a statistically significant difference but the comparison itself is not explicitly tested."," \[@GelmanStern2006\], \[@Morabia1997\], \[@Nieuwenhuis2011\]", Graham Reid, Ali H. Al-Hoorie; Mahmoud Elsherif; Kai Krautter; Sam Parsons," A statistical error in which a formal test is not conducted to assess the difference between a significant and non-significant correlation (or other measures, such as Odds Ratio). This fallacy occurs when a significant and non-significant correlation coefficient are assumed to represent a statistically significant difference but the comparison itself is not explicitly tested.", Comparison of Correlations; Null Hypothesis Significance Testing (NHST); Statistical Validity; Type I error; Type II error,NA,NA,NA
Interlocking ," An analysis at the core of intersectionality to analyse power, inequality and exclusion, as efforts to reform academic culture cannot be completed by investigating only one avenue in isolation (e.g. race, gender or ability) but by considering all the systems of exclusion. In contrast to intersectionality (which refers to the individual having multiple social identities), interlocking is usually used to describe the systems that combine to serve as oppressive measures toward the individual based on these identities.", \[@Ledgerwood2021\],NA, Ali H. Al-Hoorie; Flávio Azevedo; Mahmoud Elsherif; Eliza Woodward; Gerald Vineyard;," An analysis at the core of intersectionality to analyse power, inequality and exclusion, as efforts to reform academic culture cannot be completed by investigating only one avenue in isolation (e.g. race, gender or ability) but by considering all the systems of exclusion. In contrast to intersectionality (which refers to the individual having multiple social identities), interlocking is usually used to describe the systems that combine to serve as oppressive measures toward the individual based on these identities.", Bropenscience; Equity; Diversity; Inclusion; Intersectionality; Open Science; Social Justice, Christina Pomareda,NA,NA
Internal Validity ," An indicator of the extent to which a study’s findings are representative of the true effect in the population of interest and not due to research confounds, such as methodological shortcomings. In other words, whether the observed evidence or covariation between the independent (predictor) and dependent (criterion) variables can be taken as a bona fide relationship and not a spurious effect owing to uncontrolled aspects of the study’s set up. Since it involves the quality of the study itself, internal validity is a priority for scientific research."," \[@CampbellStanley1966\] **Alternative definition:** In Psychometrics, the degree of evidence that confirms the internal structure of a psychometric test as compatible with the structure of a psychological construct. **Related terms to alternative definition:** Construct validity", Annalise A. LaPlume, Helena Hartmann; Oscar Lecuona; Meng Liu; Sam Parsons; Graham Reid; Flávio Azevedo," An indicator of the extent to which a study’s findings are representative of the true effect in the population of interest and not due to research confounds, such as methodological shortcomings. In other words, whether the observed evidence or covariation between the independent (predictor) and dependent (criterion) variables can be taken as a bona fide relationship and not a spurious effect owing to uncontrolled aspects of the study’s set up. Since it involves the quality of the study itself, internal validity is a priority for scientific research.", External validity; Validity,NA,NA,NA
Intersectionality ," A term which derives from Black feminist thought and broadly describes how social identities exist within ‘interlocking systems of oppression’ and structures of (in)equalities (Crenshaw, 1989\)**.** Intersectionality offers a perspective on the way multiple forms of inequality operate together to compound or exacerbate each other. Multiple concurrent forms of identity can have a multiplicative effect and are not merely the sum of the component elements. One implication is that identity cannot be adequately understood through examining a single axis (e.g., race, gender, sexual orientation, class) at a time in isolation, but requires simultaneous consideration of overlapping forms of identity."," \[@Crenshaw1989\], \[@Grzanka2020\], \[@Ledgerwood2021\]",NA, Ali H. Al-Hoorie; Bradley Baker; Mahmoud Elsherif; Wanyin Li; Ryan Millager; Charlotte R. Pennington; Flávio Azevedo  ### ---  ### **J** {#j}," A term which derives from Black feminist thought and broadly describes how social identities exist within ‘interlocking systems of oppression’ and structures of (in)equalities (Crenshaw, 1989\)**.** Intersectionality offers a perspective on the way multiple forms of inequality operate together to compound or exacerbate each other. Multiple concurrent forms of identity can have a multiplicative effect and are not merely the sum of the component elements. One implication is that identity cannot be adequately understood through examining a single axis (e.g., race, gender, sexual orientation, class) at a time in isolation, but requires simultaneous consideration of overlapping forms of identity.", Bropenscience; Diversity; Inclusion; Interlocking; Open Science, Madeleine Pownall,NA,NA
JabRef ," An open-sourced, cross-platform citation and reference management tool that is available free of charge. It allows editing BibTeX files, importing data from online scientific databases, and managing and searching BibTeX files.", \[@JabRef2021\], Aleksandra Lazić, Christopher Graham; Michele C. Lim; Sam Parsons; Steven Verheyen," An open-sourced, cross-platform citation and reference management tool that is available free of charge. It allows editing BibTeX files, importing data from online scientific databases, and managing and searching BibTeX files.", Open source software,NA,NA,NA
Jamovi ," Free and open source software for data analysis based on the R language. The software has a graphical user interface and provides the R code to the analyses. Jamovi supports computational reproducibility by saving the data, code, analyses, and results in a single file.", \[@The\_jamovi\_project2020\],NA, Adrien Fillon; Alexander Hart; Charlotte R. Pennington," Free and open source software for data analysis based on the R language. The software has a graphical user interface and provides the R code to the analyses. Jamovi supports computational reproducibility by saving the data, code, analyses, and results in a single file.", JASP; Open source; R; Reproducibility, Amélie Beffara Bret,NA,NA
JASP ," Named after Sir Harold Jeffreys, JASP stands for Jeffrey’s Amazing Statistics Program. It is a free and open source software for data analysis. JASP relies on a user interface and offers both null hypothesis tests and their Bayesian counterparts. JASP supports computational reproducibility by saving the data, code, analyses, and results in a single file.", \[@JASP2020\],NA," Adrien Fillon, Adam Parker; Sam Parsons"," Named after Sir Harold Jeffreys, JASP stands for Jeffrey’s Amazing Statistics Program. It is a free and open source software for data analysis. JASP relies on a user interface and offers both null hypothesis tests and their Bayesian counterparts. JASP supports computational reproducibility by saving the data, code, analyses, and results in a single file.", Jamovi; Open source, Amélie Beffara Bret,NA,NA
Journal Impact Factor™ , The mean number of citations to research articles in that journal over the preceding two years. It is a proprietary and opaque calculation marketed by Clarivate**™**. Journal Impact Factors are not associated with the content quality or the peer review process.," \[@BrembsEtAl2013\], \[@Curry2012\], \[@Naudet2018\], \[@Rossner2008\], \[@Sharma2014\]",NA, Tsvetomira Dumbalska; Adam Parker, The mean number of citations to research articles in that journal over the preceding two years. It is a proprietary and opaque calculation marketed by Clarivate**™**. Journal Impact Factors are not associated with the content quality or the peer review process., DORA; H-index, Jacob Miranda,NA,NA
JSON file ," JavaScript Object Notation (JSON) is a data format for structured data that can be used to represent attribute-value pairs. Values thereby can contain further JSON notation (i.e., nested information). JSON files can be formally encoded as strings of text and thus are human-readable. Beyond storing information this feature makes them suitable for annotating other content. For example, JSON files are used in Brain Imaging Data Structure (BIDS) for describing the metadata dataset by following a standardized format (dataset\_description.json).", \[@BIDSModalityND\],NA, Alexander Hart; Matt Jaquiery; Emma Norris; Charlotte R. Pennington  ###  ### **K** {#k}," JavaScript Object Notation (JSON) is a data format for structured data that can be used to represent attribute-value pairs. Values thereby can contain further JSON notation (i.e., nested information). JSON files can be formally encoded as strings of text and thus are human-readable. Beyond storing information this feature makes them suitable for annotating other content. For example, JSON files are used in Brain Imaging Data Structure (BIDS) for describing the metadata dataset by following a standardized format (dataset\_description.json).", BIDS data structure; Metadata, Tina Lonsdorf,NA,NA
Knowledge acquisition ," The process by which the mind decodes or extracts, stores, and relates new information to existing information in long term memory. Given the complex structure and nature of knowledge, this process is studied in the philosophical field of epistemology, as well as the psychological field of learning and memory.", \[@BruleBlount1989\],NA, Bradley Baker; Helena Hartmann; Kai Krautter; Graham Reid  ###  ### **L** {#l}," The process by which the mind decodes or extracts, stores, and relates new information to existing information in long term memory. Given the complex structure and nature of knowledge, this process is studied in the philosophical field of epistemology, as well as the psychological field of learning and memory.", Epistemology; Information; Learning, Oscar Lecuona,NA,NA
Likelihood function ," A statistical model of the data used in frequentist and Bayesian analyses, defined up to a constant of proportionality. A likelihood function represents the likeliness of different parameters for your distribution given the data. Given that probability distributions have unknown population parameters, the likelihood function indicates how well the sample data summarise these parameters. As such, the likelihood function gives an idea of the goodness of fit of a model to the sample data for a given set of values of the unknown population parameters."," \[@Dienes2008\], \[@Hogg2010\], \[@van\_de\_Schoot2021\], \[@Geyer2003\], \[@Geyer2007\], \[@Huber2016a\]",NA, Dominik Kiersz; Graham Reid; Sam Parsons; Flávio Azevedo," A statistical model of the data used in frequentist and Bayesian analyses, defined up to a constant of proportionality. A likelihood function represents the likeliness of different parameters for your distribution given the data. Given that probability distributions have unknown population parameters, the likelihood function indicates how well the sample data summarise these parameters. As such, the likelihood function gives an idea of the goodness of fit of a model to the sample data for a given set of values of the unknown population parameters."," Bayes factor; Bayesian inference; Bayesian parameter estimation; Posterior distribution; Prior distribution **Alternative definition:** For a more statistically-informed definition, given a parametric model specified by a probability (densidity) function f(x|theta), a likelihood *for* a statistical model is defined by the same formula as the density except that the roles of the data *x* and the parameter *theta* are interchanged, and thus the likelihood can be considered a function of *theta* for fixed data *x*. Here, then, the likelihood function would describe a curve or hypersurface whose peak, if it exists, represents the combination of model parameter values that maximize the probability of drawing the sample obtained.", Alaa AlDoh,NA,NA
Likelihood Principle ," The notion that all information relevant to inference contained in data is provided by the likelihood. The principle suggests that the likelihood function can be used to compare the plausibility of various parameter values. While Bayesians and likelihood theorists subscribe to the likelihood principle, Neyman-Pearson theorists do not, as significance tests violate the likelihood principle because they take into account information not in the likelihood."," \[@Dienes2008\], \[@Geyer2003\], \[@Geyer2007\]",NA, Sam Parsons; Flávio Azevedo," The notion that all information relevant to inference contained in data is provided by the likelihood. The principle suggests that the likelihood function can be used to compare the plausibility of various parameter values. While Bayesians and likelihood theorists subscribe to the likelihood principle, Neyman-Pearson theorists do not, as significance tests violate the likelihood principle because they take into account information not in the likelihood.", Bayesian inference; Likelihood Function, Alaa Aldoh,NA,NA
