Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
DORA *,"** The San Francisco Declaration on Research Assessment (DORA) is a global initiative aiming to reduce dependence on journal-based metrics (e.g. journal impact factor and citation counts) and, instead, promote a culture which emphasises the intrinsic value of research. The DORA declaration targets research funders, publishers, research institutes and researchers and signing it represents a commitment to aligning research practices and procedures with the declaration’s principles.",NA,NA,** Connor Keating; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Die San Francisco Declaration on Research Assessment (DORA) ist eine globale Initiative, die darauf abzielt, die Abhängigkeit von Zeitschriften-basierten Metriken (z. B. Impact Faktor und Zitationszahlen) zu verringern und stattdessen eine Kultur zu fördern, die den intrinsischen Wert der Forschung betont. Die DORA-Erklärung richtet sich an Forschungsfördende, Verlage, Forschungsinstitute und Forschende, die sich mit ihrer Unterschrift verpflichten, ihre Forschungspraktiken und \-verfahren an die Grundsätze der Erklärung anzupassen.",** Generalizability; Journal Impact Factor; Open Science,** Health Research Board (n.d.); [https://sfdora.org/](https://sfdora.org/),** Aoife O’Mahony,NA
Direct replication (direkte Replikation) *,"** As ‘direct replication’ does not have a widely-agreed technical meaning nor there is no clear cut distinction between a direct and conceptual replication, below we list several contributions towards a consensus. Rather than debating the ‘exactness’ of a replication, it is more helpful to discuss the relevant differences between a replication and its target, and their implications for the reliability and generality of the target’s results. Generally, direct replication refers to a new data collection that attempts to replicate original studies’ methods as closely as possible. A replication attempt that “seek(s) to duplicate the necessary elements that produced the original finding.” (Cruwell et al., 2019; p.243). The purpose of a direct replication can be to identify type 1 errors and/or experimenter effects, determine the replicability of an effect using the same or improved practices, or to create more specific estimates of effect size (Hűffmeier et al., 2016). Directness of replication is a continuum between repeating specific observations (data) and observing generalised effects (phenomena). How closely a replication replicates an original study is often a matter for debate, often with differences being cited as hidden moderators of effects. Furthermore, there can be debate over the relevant importance of technical equivalence (i.e., using identical materials) versus psychological equivalence (i.e., realizing the identical psychological conditions) to the original study (Schwarz and Strack, 2014). For example, consider a study on Trust in the US- President conducted in 2018\. A technical equivalent replication would use Trump as stimulus (he was president in 2018\) a psychological equivalent study would use Biden (he is the current president).",NA,NA,** Beatrix Arendt; Adrien Fillon; Matt Jaquiery; Charlotte R. Pennington; Graham Reid; Lisa Spitzer; Tobias Wingen; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Da der Begriff ""direkte Replikation"" keine allgemein anerkannte technische Bedeutung hat und es keine eindeutige Unterscheidung zwischen einer direkten und einer konzeptionellen Replikation gibt, werden im Folgenden einige Beiträge zur Erzielung eines Konsenses aufgeführt. Anstatt über die ""Genauigkeit"" einer Replikation zu debattieren, ist es hilfreicher, die relevanten Unterschiede zwischen einer Replikation und der zu replizierenden Arbeit, sowie deren Auswirkungen auf die Zuverlässigkeit und Generalisierbarkeit der Ergebnisse der ursprünglichen Arbeit zu diskutieren. Im Allgemeinen bezieht sich die direkte Replikation auf eine neue Datenerhebung, die versucht, die Methoden der ursprünglichen Studie so genau wie möglich zu replizieren. Ein Replikationsversuch, der ""seek(s) to duplicate the necessary elements that produced the original finding.” (dt. versucht, die notwendigen Elemente zu duplizieren, die zu den ursprünglichen Ergebnissen geführt haben, Cruwell et al., 2019; p. 243). Der Zweck einer direkten Replikation kann darin bestehen, Fehler vom Typ 1 und/oder Versuchsleiter:innen-Effekte zu identifizieren, die Replizierbarkeit eines Effekts unter Verwendung derselben oder verbesserter Verfahren zu bestimmen oder spezifischere Schätzungen der Effektgröße zu erstellen (Hüffmeier et al., 2016). Die Direktheit der Replikation ist ein Kontinuum zwischen der Wiederholung spezifischer Beobachtungen (Daten) und der Beobachtung verallgemeinerter Effekte (Phänomene). Wie genau eine Replikation eine ursprüngliche Studie nachbildet, ist oft umstritten, wobei Unterschiede oft als versteckte Moderatoren von Effekten angeführt werden. Darüber hinaus kann eine Debatte über die Bedeutung der technischen Äquivalenz (d. h. die Verwendung identischer Materialien) gegenüber der psychologischen Äquivalenz (d. h. die Realisierung identischer psychologischer Bedingungen) der Originalstudie geführt werden (Schwarz and Strack, 2014). Nehmen wir zum Beispiel eine Studie zum Vertrauen in den US-Präsidenten aus dem Jahr 2018\. Eine technisch gleichwertige Replikation würde Trump als Stimulus verwenden (er war 2018 Präsident), eine psychologisch gleichwertige Studie im Jahr 2023 würde Biden als aktuellen Präsidenten verwenden.",** close replication; Conceptual replication; exact replication; hidden moderators,** Crüwell et al. (2019); Hüffmeier et al. (2016); LeBel et al. (2019); Schwarz and Strack (2014),**Mahmoud Elsherif (original); Thomas Rhys Evans (alternative); Tina Lonsdorf (alternative),NA
Diversity *,"** Diversity refers to between-person (i.e., interindividual) variation in humans, e.g. ability, age, beliefs, cognition, country, disability, ethnicity, gender, language, race, religion or sexual orientation. Diversity can refer to diversity of researchers (who do the research), the diversity of participant samples (who is included in the study), and diversity of perspectives (the views and beliefs researchers bring into their work; Syed & Kathawalla, 2020).",NA,NA,** Nihan Albayrak-Aydemir; Mahmoud Elsherif; Helena Hartmann; Madeleine Ingham; Annalise A. LaPlume; Wanyin Li; Charlotte R. Pennington; Olly Robertson; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey   ### **E** {#e}","Diversity (Diversität) bezieht sich auf die zwischenmenschliche (d. h. interindividuelle) Variation bei Menschen, z. B. in Bezug auf Fähigkeiten, Alter, Überzeugungen, Kognition, Land, Behinderung, ethnische Zugehörigkeit, Geschlecht, Sprache, Herkunft, Religion oder sexuelle Orientierung. Diversität kann sich auf die Vielfalt der Forschenden (die die Forschung durchführen), die Vielfalt der Teilnehmendenstichproben (die in die Studie einbezogen werden) und die Vielfalt der Perspektiven (die Ansichten und Überzeugungen der Forschenden) beziehen.",** Bropenscience; BIZARRE; Decolonisation; Double Consciousness; Equity; Inclusion; STRANGE; WEIRD,** Syed and Kathawalla (2020),** Ryan Millager; Mariella Paul,NA
"Early career researchers (ECRs, Nachwuchswissenschaftler:innen) *","** A label given to researchers who “range from senior doctoral students to postdoctoral workers who may have up to 10 years postdoctoral education; the latter group may therefore include early career or junior academics” (Eley et al., 2012, p. 3). What specifically (e.g. age, time since PhD inclusive or exclusive of career breaks and leave, title, funding awarded) constitutes an ECR can vary across funding bodies, academic organisations, and countries.",NA,NA,** Thomas Rhys Evans; Sam Parsons; Olly Robertson; Suzanne L. K. Stewart; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Eine Bezeichnung für Forschende, die von erfahrenen Doktorand:innen bis hin zu Postdoktorand:innen reichen, die bis zu zehn Jahre nach der Promotion ausgebildet wurden; die letztgenannte Gruppe kann daher auch Juniorprofessor:innen umfassen (Eley et al., 2012, S. 3). Was genau (z. B. Alter, Zeit seit der Promotion einschließlich oder ausschließlich von Karriere-Unterbrechungen und Urlaub / Freistellungen, Titel, bewilligte Fördermittel) eine/n ECR ausmacht, kann je nach Fördereinrichtung, akademischer Organisation und Land variieren.",** Early Career Investigator,** Bazeley (2003); Eley et al. (2012); Pownall et al (2021),** Micah Vandegrift,NA
Economic and societal impact (wirtschaftliche und gesellschaftliche Auswirkungen *,"** The contribution a research item makes to the broader economy and society. It also captures the benefits of research to individuals, organisations, and/or nations.",** https://esrc.ukri.org/research/impact-toolkit/what-is-impact/,** Adam Parker,** Helena Hartmann; Aoife O’Mahony; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Der Beitrag, den ein Forschungsgegenstand für die Wirtschaft und Gesellschaft im weiteren Sinne leistet. Erfasst wird auch der Nutzen der Forschung für Einzelpersonen, Organisationen und/oder Nationen.",** Academic Impact,NA,NA,NA
Embargo Period (Sperrfrist) *,"** Applied to Open Scholarship, in academic publishing, the period of time after an article has been published and before it can be made available as Open Access. If an author decides to self-archive their article (e.g., in an Open Access repository) they need to observe any embargo period a publisher might have in place. Embargo periods vary from instantaneous up to 48 months, with 6 and 12 months being common (Laakso & Björk, 2013). Embargo periods may also apply to pre-registrations, materials, and data, when authors decide to only make these available to the public after a certain period of time, for instance upon publication or even later when they have additional publication plans and want to avoid being scooped (Klein et al., 2018).","** Klein et al. (2018), Laakso and Björk (2013); [https://en.wikipedia.org/wiki/Embargo\_(academic\_publishing)](https://en.wikipedia.org/wiki/Embargo_\(academic_publishing\))",** Aleksandra Lazić,** Bradley Baker; Adam Parker; Sam Parsons; Steven Verheyen; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Angewandt auf Open Scholarship (dt. Offene Forschung) beschreibt es im akademischen Verlagswesen die Zeitspanne, nachdem ein Artikel veröffentlicht wurde und bevor er offen (""open-access"") zugänglich gemacht werden kann. Wenn Autor:innen beschließen, ihren Artikel selbst zu archivieren (z. B. in einem Open-Access-Repositorium), müssen sie alle Sperrfristen beachten. Sperrfristen variieren von sofort bis zu 48 Monaten, wobei 6 und 12 Monate üblich sind (Laakso & Björk, 2013). Sperrfristen können auch für Präregistrierungen, Materialien, und Daten gelten, wenn Autor:innen beschließen, diese erst nach einer bestimmten Zeit der Öffentlichkeit zur Verfügung zu stellen, beispielsweise bei der Veröffentlichung der Publikation oder sogar später, wenn sie zusätzliche Veröffentlichungspläne haben und vermeiden wollen, dass man ihnen zuvorkommt (Klein et al., 2018).",** Open access; Paywall; Preprint,NA,NA,NA
Epistemic uncertainty (epistemische Unsicherheit) *,"** Systematic uncertainty due to limited data, measurement precision, model or process specification, or lack of knowledge. That is, uncertainty due to lack of knowledge that could, in theory, be reduced through conducting additional research to increase understanding. Such uncertainty is said to be personal, since knowledge differs across scientists, and temporary since it can change as new data become available.",NA,NA,** Jamie P. Cockcroft; Elizabeth Collins; Charlotte R. Pennington; Graham Reid,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Systematische Unsicherheit aufgrund begrenzter Daten, Messgenauigkeit, Modell- oder Prozessspezifikation oder mangelnden Wissens. Das heißt, Unsicherheit aufgrund mangelnden Kenntnisstands, die theoretisch durch zusätzliche Forschung zur Verbesserung des Verständnisses verringert werden könnte. Eine solche Unsicherheit wird als persönlich bezeichnet, da sich das Wissen der Forschenden unterscheidet, und als vorübergehend, da sie sich ändern kann, wenn neue Daten verfügbar werden.",** Aleatoric uncertainty; Knightian uncertainty,"** Der Kiureghian and Ditlevsen (2009); Ferson et al., (2004) **Alternative terms:** Epistemic uncertainty is also known as knowledge uncertainty, subjective uncertainty, or type B uncertainty.",** Bradley Baker,NA
Epistemology (Epistemiologie / Erkenntnistheorie)  *,"** Alongside ethics, logic, and metaphysics, epistemology is one of the four main branches of philosophy. Epistemology is largely concerned with nature, origin, and scope of knowledge, as well as the rationality of beliefs.",** Steup et al. (2020),** Amélie Beffara Bret,** Emma Norris; Adam Parker; Robert M Ross; Steven Verheyen,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Neben der Ethik, der Logik und der Metaphysik ist die Erkenntnistheorie einer der vier Hauptzweige der Philosophie. Die Erkenntnistheorie befasst sich weitgehend mit der Natur, dem Ursprung und dem Umfang des Wissens sowie mit der Rationalität von Überzeugungen.",** Meta-science or Meta-research ; Ontology (Artificial Intelligence),NA,NA,NA
Equity  (Gleichstellung) *,"** Different individuals have different starting positions (cf. “opportunity gaps”) and needs. Whereas equal treatment focuses on treating all individuals *equally*, equitable treatment aims to level the playing field by actively increasing opportunities for under-represented minorities. Equitable treatment aims to attain equality through “fairness”: taking into account different needs for support for different individuals, instead of focusing merely on the needs of the majority.",NA,NA,** Nihan Albayrak-Aydemir; Mahmoud Elsherif; Ryan Millager; Charlotte R. Pennington; Beatrice Valentini; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Verschiedene Personen haben unterschiedliche Ausgangspositionen (vgl. ""Chancenlücken"") und Bedürfnisse. Während sich die Gleichbehandlung (""equal treatment"") darauf konzentriert, alle Personen *gleich* zu behandeln, zielt die Gleichstellung darauf ab, die Chancengleichheit zu erhöhen, indem mehr Chancen für unterrepräsentierte Minderheiten hergestellt werden. Die Gleichstellung soll durch Fairness erreicht werden, d. h. durch die Berücksichtigung der unterschiedlichen Unterstützungsbedürfnisse der einzelnen Personen, anstatt sich nur auf die Bedürfnisse der Mehrheit zu konzentrieren.",** Diversity; Equality; Fairness; Inclusion; Social justice,** Albayrak-Aydemir (2020); Posselt (2020),** Gisela H. Govaart,NA
Equivalence Testing (Äquivalenztesten) *,"** Equivalence tests statistically assess the null hypothesis that a given effect exceeds a minimum criterion to be considered meaningful. Thus, rejection of the null hypothesis provides evidence of a lack of (meaningful) effect. Based upon frequentist statistics, equivalence tests work by specifying equivalence bounds: a lower and upper value that reflect the smallest effect size of interest. Two one-sided *t*\-tests are then conducted against each of these equivalence bounds to assess whether effects that are deemed meaningful can be *rejected* (see Schuirmann, 1972; Lakens et al., 2018; 2020).",** Lakens et al. (2018); Lakens et al. (2020); Schuirmann (1987),** Charlotte R. Pennington,** Bradley Baker; James E. Bartlett; Jamie P. Cockcroft; Tobias Wingen; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Äquivalenztests bewerten statistisch die Nullhypothese, dass ein bestimmter Effekt ein Minimalkriterium überschreitet, um als bedeutsam eingestuft zu werden. Die Ablehnung der Nullhypothese ist somit ein Beweis für das Fehlen eines (bedeutsamen) Effekts. Äquivalenztests basieren auf der frequentistischen Statistik und funktionieren durch die Festlegung von Äquivalenzgrenzen: einer unteren und einer oberen Grenze, die die kleinste interessierende Effektgröße widerspiegeln. Anschließend werden zwei einseitige *t*\-Tests gegen jede dieser Äquivalenzgrenzen durchgeführt, um festzustellen, ob als bedeutsam erachteten Effekte *abgelehnt* werden können (siehe Schuirmann, 1972; Lakens et al., 2018; 2020).",** Equivalence bounds; Falsification; Frequentist analyses; Inference by confidence intervals; Null Hypothesis Significance Testing (NHST); Smallest effect size of interest (SESOI); TOSTER; TOST procedure.,NA,NA,NA
Error detection (Fehlererfassung) *,"** Broadly refers to examining research data and manuscripts for mistakes or inconsistencies in reporting. Commonly discussed approaches include: checking inconsistencies in descriptive statistics (e.g. summary statistics that are not possible given the sample size and measure characteristics; Brown & Heathers, 2017; Heathers et al. 2018), inconsistencies in reported statistics (e.g. *p*\-values that do not match the reported *F* statistics and accompanying degrees of freedom; Epskamp, & Nuijten, 2016; Nuijten et al. 2016), and image manipulation (Bik et al., 2016). Error detection is one motivation for data and analysis code to be openly available, so that peer review can confirm a manuscript’s findings, or if already published, the record can be corrected. Detected errors can result in corrections or retractions of published articles, though these actions are often delayed, long after erroneous findings have influenced and impacted further research.",NA,NA,** Ali H. Al-Hoorie; Jamie P. Cockcroft; Dominik Kiersz; Sam Parsons; Suzanne L. K. Stewart; Marta Topor,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Bezieht sich allgemein auf die Prüfung von Forschungsdaten und Manuskripten auf Fehler oder Unstimmigkeiten in der Berichterstattung. Zu den häufig diskutierten Ansätzen gehören: die Überprüfung von Unstimmigkeiten in der deskriptiven Statistik (z. B. zusammenfassende Statistiken, die angesichts des Stichprobenumfangs und der Messmerkmale nicht möglich sind; Brown & Heathers, 2017; Heathers et al. 2018), Unstimmigkeiten in den berichteten Statistiken (z. B. p-Werte, die nicht mit den berichteten F-Statistiken und den dazugehörigen Freiheitsgraden übereinstimmen; Epskamp, & Nuijten, 2016; Nuijten et al. 2016\) und Bildmanipulationen (Bik et al., 2016). Die Erfassung von  Fehlern ist eine Motivation dafür, dass Daten und Analysecodes offen zugänglich sein sollen, so dass die Ergebnisse eines Manuskripts durch Gutachten bestätigt werden können oder, falls sie bereits veröffentlicht wurden, die Aufzeichnungen korrigiert werden können. Entdeckte Fehler können zu Korrekturen oder zum Rückzug veröffentlichter Artikel führen, auch wenn sich diese Maßnahmen oft verzögern, lange nachdem die fehlerhaften Ergebnisse die weitere Forschung beeinflusst und beeinträchtigt haben.",** Research integrity; correction; retraction,** Bik et al. (2016); Brown and Heathers (2017); Epskamp and Nuijten (2016); Heathers et al. (2018); Nuijten et al. (2016); [https://retractionwatch.com/](https://retractionwatch.com/),** William Ngiam,NA
Evidence Synthesis (Evidenzsynthese) *,"** This is a type of research method which aims to draw general conclusions to address a research question on a certain topic, phenomenon or effect by reviewing research outcomes and information from a range of different sources. Information which is subject to synthesis can be extracted from both qualitative and quantitative studies. The method used to synthesise the gathered information can be qualitative (narrative synthesis), quantitative (meta-analysis) or mixed (meta-synthesis, systematic mapping). Evidence synthesis has many applications and is often used in the context of healthcare, public policy as well as understanding and advancement of specific research fields.","** Centre for Evaluation (n.d.); James et al., (2016); Siddaway et al. (2019)",** Marta Topor,** Aoife O’Mahony; Tamara Kalandadze; Adam Parker; Charlotte R. Pennington,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Hierbei handelt es sich um eine Forschungsmethode, die darauf abzielt, allgemeine Schlussfolgerungen zur Beantwortung einer Forschungsfrage zu einem bestimmten Thema, Phänomen oder Effekt zu ziehen, indem Forschungsergebnisse und Informationen aus vielen unterschiedlichen Quellen betrachtet werden. Informationen, die einer Synthese unterzogen werden, können sowohl aus qualitativen als auch aus quantitativen Studien gewonnen werden. Die zur Synthese der gesammelten Informationen verwendete Methode kann qualitativ (narrative Synthese), quantitativ (Metaanalyse) oder gemischt (Metasynthese, systematisches Mapping) sein. Evidenzsynthese ist vielseitig anwendbar und wird häufig im Kontext der Gesundheitsversorgung, der Öffentlichkeitspolitik sowie des Verständnisses und der Förderung spezifischer Forschungsbereiche eingesetzt.",** Literature Review; Meta-analysis; Meta-synthesis; Meta-science or Meta-research; Narrative review; Scoping review; Systematic map; Systematic review,NA,NA,NA
Exploratory data analysis (Explorative Datenanalyse) *,"** Exploratory Data Analysis (EDA) is a well-established statistical tradition that provides conceptual and computational tools for discovering patterns in data to foster hypothesis development and refinement. These tools and attitudes complement the use of hypothesis tests used in confirmatory data analysis (CDA). Even when well-specified theories are held, EDA helps one interpret the results of CDA and may reveal unexpected or misleading patterns in the data.",NA,NA,** Helena Hartmann; Timo Roettger; Charlotte R. Pennington; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Die explorative Datenanalyse (EDA) ist eine etablierte statistische Tradition, die konzeptionelle und computergestützte Instrumente zur Entdeckung von Mustern in Daten bereitstellt, um die Entwicklung und Verfeinerung von Hypothesen zu fördern. Diese Werkzeuge und Einstellungen ergänzen den Einsatz von Hypothesentests, die in der konfirmatorischen Datenanalyse (CDA) verwendet werden. Selbst wenn gut begründete Theorien vorliegen, kann EDA helfen, die Ergebnisse einer CDA zu interpretieren und unerwartete oder irreführende Muster in den Daten aufzudecken.",** Confirmatory analyses; Data-driven research; Exploratory research,** Behrens (1997); Box (1976); Tukey (1977); Wagenmakers (2012),** Jenny Terry,NA
External Validity (externe Validität) *,"** Whether the findings of a scientific study can be generalized to other contexts outside the study context (different measures, settings, people, places, and times). Statistically, threats to external validity may reflect interactions whereby the effect of one factor (the independent variable) depends on another factor (a confounding variable). External validity may also be limited by the study design (e.g., an artificial laboratory setting or a non-representative sample).","** Cook and Campbell (1979); Lynch (1982); Steckler and McLeroy (2008) **Alternative definition:** (if applicable) In Psychometrics, the degree of evidence that confirms the relations of a tested psychological construct with external variables **Related terms to alternative definition:** Criterion validity; Convergent validity; Divergent validity",** Annalise A. LaPlume,** Mahmoud Elsherif; Helena Hartmann; Kai Krautter; Oscar Lecuona; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey   ###  ### **F** {#f}","Ob die Ergebnisse einer wissenschaftlichen Studie auf andere Kontexte außerhalb des Studienkontextes verallgemeinert werden können (andere Maße, Rahmenbedingungen, Personen, Orte und Zeiten). Statistisch gesehen können Bedrohungen der externen Validität Wechselwirkungen widerspiegeln, bei denen die Wirkung eines Faktors (der unabhängigen Variable) von einem anderen Faktor (einer Störvariable) abhängt. Die externe Validität kann auch durch das Studiendesign eingeschränkt werden (z. B. durch eine künstliche Laborumgebung oder eine nicht repräsentative Stichprobe).",** Constraints on Generality (COG); Internal validity; Generalizability; Representativity; Validity,** Messick (1995),NA,NA
Face validity (Augenscheinvalidität) *,"** A subjective judgement of how suitable a measure appears to be on the surface, that is, how well a measure is operationalized. For example, judging whether questionnaire items should relate to a construct of interest at face value. Face validity is related to construct validity, but since it is subjective/informal, it is considered an easy but weak form of validity.",** Holden (2010),** Annalise A. LaPlume,** Helena Hartmann; Kai Krautter; Adam Parker; Sam Parsons,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Ein subjektives Urteil darüber, wie geeignet ein Maß auf den ersten Blick zu sein scheint, d. h. wie gut ein Maß operationalisiert ist. Zum Beispiel die Beurteilung, ob sich die Items eines Fragebogens auf ein interessierendes Konstrukt beziehen. Die Augenscheinvalidität ist mit der Konstruktvalidität verwandt, aber da sie subjektiv/informell ist, wird sie als eine einfache, aber schwache Form der Validität angesehen.",** Construct Validity; Content Validity; Logical Validity; Operationalization; Validity,NA,NA,NA
FAIR principles (FAIR Prinzipien) *,"** Describes making scholarly materials Findable, Accessible, Interoperable and Reusable (FAIR). ‘Findable’ and ‘Accessible’ are concerned with where materials are stored (e.g. in data repositories), while ‘Interoperable’ and ‘Reusable’ focus on the importance of data formats and how such formats might change in the future.",NA,NA,** Mahmoud Elsherif; Sam Parsons; Charlotte R. Pennington,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Beschreibt das Prinzip, wissenschaftliche Materialien Findable (auffindbar), Accessible (zugänglich), Interoperable (interoperabel) und Reusable (wiederverwendbar) zu machen (FAIR). Auffindbar und Zugänglich beziehen sich darauf, wo die Materialien gespeichert sind (z. B. in Datenarchiven), während Interoperabel und Wiederverwendbar sich auf die Bedeutung von Datenformaten und deren mögliche künftige Veränderung konzentrieren.",** Metadata; Open Access; Open Code; Open Data; Open Material; Repository,** Crüwell et al. (2019); Wilkinson et al. (2016); [https://www.go-fair.org/fair-principles/](https://www.go-fair.org/fair-principles/),** Sonia Rishi,NA
Feminist psychology (Feministische Psychologie) *,"** With a particular focus on gender and sexuality, feminist psychology is inherently concerned with representation, diversity, inclusion, accessibility, and equality. Feminist psychology initially grew out out of a concern for representing the lived experiences of girls and women, but has since evolved into a more nuanced, intersectional and comprehensive concern for all aspects of equality (e.g., Eagly & Riger, 2014). Feminist psychologists have advocated for more rigorous consideration of equality, diversity, and inclusion within Open Science spaces (Pownall et al., 2021).",** Eagly and Riger (2014); Grzanka (2020); Pownall et al (2021),** Madeleine Pownall,** Mahmoud Elsherif; Helena Hartmann; Kai Krautter; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Mit einem besonderen Schwerpunkt auf Geschlecht und Sexualität befasst sich die feministische Psychologie von Natur aus mit Repräsentation, Diversität, Inklusion, Zugänglichkeit und Gleichberechtigung. Feministische Psychologie entstand ursprünglich aus dem Anliegen, die gelebten Erfahrungen von Mädchen und Frauen zu repräsentieren, hat sich aber seither zu einem differenzierteren, intersektionalen und umfassenden Anliegen für alle Aspekte der Gleichberechtigung entwickelt (z. B. Eagly & Riger, 2014). Feministische Psycholog:innen haben sich für eine strengere Berücksichtigung von Gleichheit, Vielfalt und Inklusion in Open-Science-Bereichen eingesetzt (Pownall et al., 2021).",** Inclusion; Positionality; Reflexivity; Under-representation; Equity,NA,NA,NA
"First-last-author-emphasis norm (FLAE, Norm der Betonung der Erst- und Letztautor:innenschaft) *","** An authorship system that assigns the order of authorship depending on the contributions of a given author while simultaneously valuing the first and last position of the authorship order most. According to this system, the two main authors are indicated as the first and last author \- the order of the authors between the first and last position is determined by contribution in a descending order.",** Tscharntke et al. (2007),** Myriam A. Baum,** Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Ein System der Autor:innenschaft, das die Reihenfolge der Autor:innen in Abhängigkeit von den Leistungen einer/eines bestimmten Autorin/Autors festlegt und gleichzeitig die erste und letzte Position der Autor:innenreihenfolge am höchsten bewertet. Nach diesem System werden die beiden Hauptautoren als erster und letzter Autor angegeben \- die Reihenfolge der Autor:innen zwischen der ersten und letzten Position wird durch den Leistungsumfang in absteigender Reihenfolge bestimmt.",** Authorship; Author contributions; CreDit taxonomy,NA,NA,NA
FORRT *,"** Framework for Open and Reproducible Research Training. It aims to provide a pedagogical infrastructure designed to recognize and support the teaching and mentoring of open and reproducible research in tandem with prototypical subject matters in higher education. FORRT strives to be an effective, evolving, and community-driven organization raising awareness of the pedagogical implications of open and reproducible science and its associated challenges (i.e., curricular reform, epistemological uncertainty, methods of education). FORRT also advocates for the opening of teaching and mentoring materials as a means to facilitate access, discovery, and learning to those who otherwise would be educationally disenfranchised.",NA,NA,** Mahmoud Elsherif; Charlotte R. Pennington; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Framework for Open and Reproducible Research Training (dt. Konzept für offene und reproduzierbare Forschung und Lehre). Es zielt darauf ab, eine pädagogische Infrastruktur bereitzustellen, die die Lehre und Betreuung von offener und reproduzierbarer Forschung in Verbindung mit prototypischen Fächern in der Hochschulbildung anerkennt und unterstützt. FORRT ist bestrebt, eine effektive, sich entwickelnde und von der Gemeinschaft getragene Organisation zu sein, die für die pädagogischen Implikationen offener und reproduzierbarer Wissenschaft und die damit verbundenen Herausforderungen (d. h. Lehrplanreform, epistemologische Unsicherheit, Lehrmethoden) sensibilisiert. FORRT setzt sich auch für die Öffnung von Lehr- und Betreuungsmaterialien ein, um den Zugang, das Entdecken und das Lernen für diejenigen zu erleichtern, die sonst von der Bildung ausgeschlossen wären.",** Integrating open and reproducible science tenets into higher education,** [FORRT \- Framework for Open and Reproducible Research Training](https://forrt.org/); F (2019),** Tamara Kalandadze,NA
