Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
Face validity (الصِّدق الظاهري) *,"** A subjective judgement of how suitable a measure appears to be on the surface, that is, how well a measure is operationalized. For example, judging whether questionnaire items should relate to a construct of interest at face value. Face validity is related to construct validity, but since it is subjective/informal, it is considered an easy but weak form of validity.  **",** Holden (2010),** Annalise A. LaPlume,** Helena Hartmann; Kai Krautter; Adam Parker; Sam Parsons,** Hala Alghamdi,"** Amani Aloufi, Hiba Alomary, Mahdi Aben Ahmed, Ali H. Al-Hoorie, Mohammed Mohsen",التَّعريف**: هو الحكم الشَّخصي على مدى ملاءمة مقياس معيّن بحسب ظاهره، وتحديداً، إلى أي مدى يمكن تقنينه. فعلى سبيل المثال، يشمل هذا الحكم على ما إذا كانت أسئلة الاستبيان في ظاهرها ترتبط بالظاهرة المراد دراستها.  يعدُّ الصِّدق الظَّاهري \- وإن كان له علاقة بالصِّدق البنائي \- شكلًا سهلًا وضعيفًا من أشكال الصِّدق لأنَّه حكم شخصي، وغير رسمي.  **المصطلحات ذات الصِّلة:** الصدق البنائي، صدق المحتوى، الصِّدق المنطقي، قابليَّة التَّنفيذ،  الصِّدق.,** Construct Validity; Content Validity; Logical Validity; Operationalization; Validity,NA,NA,NA
FAIR principles (مبادئ فير) *,"** Describes making scholarly materials Findable, Accessible, Interoperable and Reusable (FAIR). ‘Findable’ and ‘Accessible’ are concerned with where materials are stored (e.g. in data repositories), while ‘Interoperable’ and ‘Reusable’ focus on the importance of data formats and how such formats might change in the future.  **",NA,NA,** Mahmoud Elsherif; Sam Parsons; Charlotte R. Pennington,** Sarah Almutairi,"** Amani Aloufi, Hiba Alomary, Ali H. Al-Hoorie, Asma Alzahrani, Mohammed Mohsen","تعريف:** الاختصار ""فير"" مستمد من أربعة مبادئ تصف المواد العلميَّة على كونها يمكن العثور عليها، سهلة الوصول، قابلة للتَّكامل، ولإعادة الاستعمال.  يركز المبدآن الأوليان على أهميَّة المكان الذي تٌحفظ فيه المواد (مثل مستودعات البيانات)، بينما يركز المبدآن الأخيران على أهميَّة ترتيب وتنسيق البيانات، وكيفيَّة خضوع هذه التَّنسيقات للتَّغير مستقبلًا.  **المصطلحات ذات الصِّلة:** البيانات الوصفيَّة، الوصول المفتوح، النص البرمجي المفتوح، البيانات المفتوحة، المواد المفتوحة، مستودع البيانات.",** Metadata; Open Access; Open Code; Open Data; Open Material; Repository,** Crüwell et al. (2019); Wilkinson et al. (2016); [https://www.go-fair.org/fair-principles/](https://www.go-fair.org/fair-principles/),** Sonia Rishi,NA
Feminist psychology (علم النَّفس النَّسوي) *,"** With a particular focus on gender and sexuality, feminist psychology is inherently concerned with representation, diversity, inclusion, accessibility, and equality. Feminist psychology initially grew out out of a concern for representing the lived experiences of girls and women, but has since evolved into a more nuanced, intersectional and comprehensive concern for all aspects of equality (e.g., Eagly & Riger, 2014). Feminist psychologists have advocated for more rigorous consideration of equality, diversity, and inclusion within Open Science spaces (Pownall et al., 2021). **",** Eagly and Riger (2014); Grzanka (2020); Pownall et al (2021),** Madeleine Pownall,** Mahmoud Elsherif; Helena Hartmann; Kai Krautter; Charlotte R. Pennington,** Hiba Alomary,"** Mahdi Aben Ahmed, Ahlam Ahmed, Ali H. Al-Hoorie, Mohammed Mohsen","تعريف**: يهتم علم النَّفس النَّسوي بالتَّمثيل، والتَّنوع، والشُّموليَّة، والمساواة، ويركز على الجنسانيَّة والجندرية. نشأ علم النَّفس النَّسوي ليمثّل التَّجارب الحياتيَّة للفتيات والنِّساء، ولكنَّه تطوَّر منذ ذلك الحين إلى اهتمام أكثر دقَّة وتقاطعًا وشمولاً لجميع جوانب المساواة (Eagly & Riger, 2014). وقد دعا علماء النَّفس النَّسويون إلى النَّظر بشكل أكثر صرامة في المساواة، والتَّنوع، والشُّمول في مجالات العلوم المفتوحة (Pownall et al., 2021). **المصطلحات ذات الصِّلة**: الشُّمول، الموضعيَّة، الانعكاسيَّة، نقص التَّمثيل، العدالة.",** Inclusion; Positionality; Reflexivity; Under-representation; Equity,NA,NA,NA
First-last-author-emphasis norm (FLAE) (مبدأ التَّأكيد على المؤلفَين الأول والأخير ) *,"** An authorship system that assigns the order of authorship depending on the contributions of a given author while simultaneously valuing the first and last position of the authorship order most. According to this system, the two main authors are indicated as the first and last author \- the order of the authors between the first and last position is determined by contribution in a descending order.  **",** Tscharntke et al. (2007),** Myriam A. Baum,** Charlotte R. Pennington,** Ahlam Ahmed,"** Amani Aloufi, Mahdi Aben Ahmed, Hiba Alomary, Ali H. Al-Hoorie, Mohammed Mohsen",التَّعريف:** يحدِّد هذا المبدأ ترتيب المؤلِّفين بناءً على مساهمات كل مؤلِّف، ولكن مع تقدير أكبر للمؤلّفَين الأول والأخير. فحسب هذا المبدأ، يكون المؤلفان الرئيسيان هما الأول والأخير، بينما يُحدّد ترتيب باقي المؤلفِين الواقعين بينهما بحسب إسهاماتهم في التَّأليف.  **المصطلحات ذات اِّلصلة:** التأليف،  مساهمات المؤلِّف، تصنيف أدوار المؤلِّفين,** Authorship; Author contributions; CreDit taxonomy,NA,NA,NA
FORRT (فورت) *,"** Framework of Open Reproducible Research and Teaching. It aims to provide a pedagogical infrastructure designed to recognize and support the teaching and mentoring of open and reproducible research in tandem with prototypical subject matters in higher education. FORRT strives to be an effective, evolving, and community-driven organization raising awareness of the pedagogical implications of open and reproducible science and its associated challenges (i.e., curricular reform, epistemological uncertainty, methods of education). FORRT also advocates for the opening of teaching and mentoring materials as a means to facilitate access, discovery, and learning to those who otherwise would be educationally disenfranchised.  **",NA,NA,** Mahmoud Elsherif; Charlotte R. Pennington; Flávio Azevedo,** Mahdi Aben Ahmed,"** Hiba Alomary, Ahlam Ahmed, Ali H. Al-Hoorie , Asma Alzahrani, Mohammed Mohsen",التَّعريف:**  اختصار لإطار البحث، والتَّدريس المفتوح القابل للتِّكرار الذي يهدف إلى توفير بنية تحتية تربويَّة مصمَّمة للتَّعرُّف على البحوث المفتوحة، والقابلة للتِّكرار ودعم تدريسها وتوجيهها، جنبًا إلى جنب مع الموضوعات المتعارف عليها في التَّعليم العالي.  تسعى فورت إلى أن تكون منظَّمة فعَّالة، ومتطوِّرة ومجتمعيَّة تزيد الوعي بالآثار التَّربوية للعلوم المفتوحة والقابلة للتِّكرار والتَّحديّات المرتبطة بها (أي إصلاح المناهج الدِّراسيَّة، واللاليقين المعرفي، وأساليب التَّعليم).  تدعو فورت أيضًا إلى إتاحة مواد التَّدريس، والتّوجيه كوسيلة لتسهيل الوصول، والاكتشاف والتَّعلم للجميع بما فيهم من لا يستطيع  الوصول للمعرفة أو التَّعلم.  **مصطلحات ذات صلة:** دمج مبادئ العلوم المفتوحة والقابلة للتكرار في التعليم العالي,** Integrating open and reproducible science tenets into higher education,** [FORRT \- Framework for Open and Reproducible Research Training](https://forrt.org/); F (2019),** Tamara Kalandadze,NA
Free Our Knowledge Platform (منصَّة حرِّر معرفتنا) *,"** A collective action platform aiming to support the open science movement by obtaining pledges from researchers that they will implement certain research practices (e.g., pre-registration, pre-print). Initially pledges will be anonymous until a sufficient number of people pledge, upon which names of pledges will be released. The initiative is a grassroots movement instigated by early career researchers.  **",NA,NA,** Ashley Blake; Elizabeth Collins; Mahmoud Elsherif; Sam Parsons; Flávio Azevedo,** Mahdi Aben Ahmed,"** Hiba Alomary, Ahlam Ahmed, Ali H. Al-Hoorie , Asma Alzahrani, Mohammed Mohsen  ### **Looking for something else?** {#looking-for-something-else?}  We have separated the glossary project across several documents, see links below:  Landing page:			[Glossary | Phase 2 | Landing page](https://docs.google.com/document/d/1BKzztg7srUeC_2Yn0b7cMbxp_vYMDlOnEYpxg_S2hWs/edit?usp=sharing) Letters A \- F:			[Glossary | Phase 2 | A-F](https://docs.google.com/document/d/1ob__Alxsnx9yqeTpurEY_N_kv56c1iiZyrg0xxf0ftg/edit?usp=sharing) Letters G \- L:			[Glossary | Phase 2 | G-L](https://docs.google.com/document/d/1LP0cEletpNumDmYHFv3seV3gL6OLQHJ7ZDLQ7T3fzNE/edit?usp=sharing) Letters M \- R: 			[Glossary | Phase 2 | M - R](https://docs.google.com/document/d/1FVIgUx717G3pBwI17LGS7y22nKMde-zg0I6AKgz4SeQ/edit?usp=sharing) Letters S \- Z:			[Glossary | Phase 2 | S - Z](https://docs.google.com/document/d/1-5CKFciwhB-WfC1DK8Sajyh8a8CgNOYvOoeZpODux8Y/edit?usp=sharing) References: 			[Glossary | Phase 2 | References](https://docs.google.com/document/d/12_F8kbnl2GP66iBkIejJeX2KnkZ13iC_jj7VVYZMxpA/edit?usp=sharing) Terms not yet defined: 		[Glossary | Phase 2 | Terms not yet defined](https://docs.google.com/document/d/16FGodUkNoNrBYyq2JqHJMNzYuZf-QbsigooMpB_ns_E/edit?usp=sharing) Contributors spreadsheet: 	[Glossary Phase 2 tenzing contributions \[FORRT\]](https://docs.google.com/spreadsheets/d/1pkvQ2-h_Hr_ZnlfmKYkuJTuYrxlqS2oSqKqoEDYlKlk/edit?usp=sharing)  [FORRT slack](https://join.slack.com/t/forrt/shared_invite/zt-alobr3z7-NOR0mTBfD1vKXn9qlOKqaQ) \- join us\! [FORRT email](mailto:FORRTproject@gmail.com) \- contact us\!",التَّعريف:** منصَّة عمل جماعيَّة تهدف إلى دعم حركة العلوم المفتوحة من خلال الحصول على تعهُّدات من الباحثين بتنفيذ ممارسات بحثيَّة معيَّنة،مثل: التَّسجيل المسبق، والطِّباعة الأوليَّة).  تكون التَّعهدات في البداية مجهولة المصدر حتى يتعهَّد عدد كاف من الأشخاص، وعندها يتم إعلان أسماء المتعهدين.  وهذه المبادرة عبارة عن حركة بحثيَّة أنشأها مجموعة من الباحثين في بداية حياتهم المهنيَّة.  **المصطلحات ذات الصِّلة**: العلم المفتوح، تعهد التَّسجيل المسبق.,** Open Science; Preregistration Pledge,** [https://freeourknowledge.org/about/](https://freeourknowledge.org/about/),** Jamie P. Cockcroft,NA
Salami slicing (التَّقطيع غير المبرَّر) *,"** A questionable research/reporting practice strategy, often done *post hoc*, to increase the number of publishable manuscripts by ‘slicing’ up the data from a single study \- one example of a method of ‘gaming the system’ of academic incentives. For instance, this may involve publishing multiple studies based on a single dataset, or publishing multiple studies from different data collection sites without transparently stating where the data originally derives from. Such practices distort the literature, and particularly meta-analyses, because it is unclear that the findings were obtained from the same dataset, thereby concealing the dependencies across the separately published papers.  **",NA,NA,** Sarah Ashcroft-Jones; Adrien Fillon; Helena Hartmann; Matt Jaquiery; Tamara Kalandadze; Charlotte R. Pennington; Graham Reid; Suzanne L. K. Stewart,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen","التَّعريف:** استراتيجيَّة مشبوهة في إجراء البحوث أو إعداد تقارير تهدف لزيادة عدد النُّصوص القابلة للنَّشر عن طريق ""تقسيم"" البيانات من دراسة واحدة. غالبًا ما يتم اتِّخاذ قرار التَّقسيم في وقت متأخِّر من العمليَّة البحثيَّة، وهو أحد الأمثلة على التَّلاعب بنظام الحوافِّز الأكاديميَّة. فمثلًا قد يتضمَّن ذلك نشر دراسات متعدِّدة تستند إلى مجموعة بيانات واحدة، أو نشر دراسات متعدِّدة من مواقع مختلفة لجمع البيانات دون الإشارة بشفافيَّة إلى مصدر البيانات في الأصل. مثل هذه الممارسات تشوِّه الأدبيَّات العلميَّة، وخاصّة التَّحليلات البعديَّة؛ لأنَّه ليس واضحًا ما إذا كانت  النَّتائج مستخلصة من نفس مجموعة البيانات، وبالتَّالي تخفي تبعيَّة هذه الأوراق ببعض كونها منشورة بشكل منفصل.  **المصطلحات ذات الصِّلة:** التَّلاعب بالنِّظام، ممارسات البحث المشكوك فيها، أو ممارسات إعداد التَّقارير المشكوك فيها ، نشر جزئي.",** Gaming (the system); Questionable Research Practices or Questionable Reporting Practices (QRPs); Partial publication,** Fanelli (2018),** Mahmoud Elsherif,NA
Scooping (السَّبق) *,"** The act of reporting or publishing a novel finding prior to another researcher/team. Survey-based research indicates that fear of being scooped is an important fear-related barrier for data sharing in psychology, and agent-based models suggest that competition for priority harms scientific reliability (Tiokhin et al. 2021).  **",NA,NA,** Ashley Blake; Thomas Rhys Evans; Connor Keating; Graham Reid; Timo Roettger; Robert M. Ross; Flávio Azevedo,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Mohammed Mohsen","التَّعريف:** الإبلاغ عن اكتشاف نتيجة جديدة، أو نشرها قبل باحث أو فريق آخر. وتشير الأبحاث المسحيَّة إلى أنَّ الخوف من السَّبق هو عائق مهم مرتبط بالخوف أمام مشاركة البيانات في علم النَّفس، وكما تشير البحوث التي تتبع منهجيَّة النمذجة القائمة على الوكلاء إلا أنَّ التَّنافس على الأولويَّة يضرُّ بالموثوقيَّة العلميَّة (Tiokhin et al., 2021).  **المصطلحات ذات الصِّلة:** الحداثة، البيانات المفتوحة، التَّسجيل المسبق.",** Novelty; Open data; Preregistration,** Houtkoop et al. (2018); Laine (2017); Tiokhin et al. (2021),** William Ngiam,NA
Semantometrics (القياسات الدِّلاليَّة) *,"** A class of metrics for evaluating research using full publication text to measure semantic similarity of publications and highlighting an article’s contribution to the progress of scholarly discussion. It is an extension of tools such as bibliometrics, webometrics, and altmetrics.  **",** Herrmannova and Knoth (2016); Knoth and Herrmannova (2014),** Alaa AlDoh,** Jamie P. Cockcroft; Mahmoud Elsherif; Christopher Graham; Charlotte R. Pennington,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** نوع من المقاييس لتقييم البحوث العلميَّة باستخدام نص النَّشر الكامل؛ لقياس التَّشابه الدِّلالي بين البحوث وتسليط الضَّوء على مساهمة البحث في التَّقدُّم العلمي. وهو امتداد لأدوات شبيهة مثل القياسات الببليومتريَّة وقياسات الويب، والمقاييس البديلة.  **المصطلحات ذات الصِّلة:** القياسات الببليومتريَّة، الإسهام,** Bibliometrics; Contribution(p),NA,NA,NA
Sensitive research (البحوث الحسَّاسة) *,"** Research that poses a threat to those who are or have been involved in it, including the researchers, the participants, and the wider society. This threat can be physical danger (e.g. suicide) or a negative emotional response (e.g. depression) to those who are involved in the research process. For instance, research conducted on victims of suicide, the researcher might be emotionally traumatised by the descriptions of the suicidal behaviours. Indeed, the communication with the victims might also make them re-experience the traumatic memories, leading to negative psychological responses.  **",** Lee (1993); Albayrak-Aydemir (2019),** Nihan Albayrak-Aydemir,** Valeria Agostini; Mahmoud Elsherif; Helena Hartmann; Graham Reid,** Awatif Alruwaili,"** Ahlam Ahmed, Ali H. Al-Hoorie، Hala Alghamdi, Mohammed Mohsen",التَّعريف:** البحوث التي تشكل تهديدًا لأولئك الذين شاركوا فيها، بما في ذلك الباحثين، والمشاركين والمجتمع بشكل واسع. يمكن أن يكون هذا التَّهديد خطرًا جسديًا (مثل الانتحار) أو استجابة عاطفيَّة سلبيَّة (مثل الاكتئاب) للمشاركين في عملية البحث. على سبيل المثال، في البحوث التي أجريت على ضحايا الانتحار، قد يتعرَّض الباحث لصدمة عاطفيَّة بسبب وصف السُّلوكيَّات الانتحاريَّة، كما أنَّ التَّواصل مع الضَّحايا قد يجعلهم أيضًا يعيدون تجربة الذِّكريات المؤلمة، ممَّا يؤدِّي إلى استجابات نفسيَّة سلبيَّة.  **المصطلحات ذات الصِّلة:** التّعمية.,** Anonymity,NA,NA,NA
Sequence-determines-credit approach (SDC) (نهج التَّسلسل الذي يحدِّد المساهمة ) *,** An authorship system that assigns authorship order based on the contribution of each author. The names of the authors are listed according to their contribution in descending order with the most contributing author first and the least contributing author last.  **,** Schmidt (1987); Tscharntke et al. (2007),** Myriam A. Baum,** Sam Parsons; Charlotte R. Pennington,Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** نظام تأليف يحدِّد ترتيب التَّأليف بناءً على مساهمة كلِّ مؤلِّف. ويتمّ سرد أسماء المؤلِّفين وفقًا لمساهمتهم بترتيب تنازلي  بدءًا بالمؤلِّف الأكثر مساهمةً وانتهاءً بالمؤلِّف الأقل مساهمة.  **المصطلحات ذات الصِّلة:** التَّأليف، مبدأ التَّأكيد على  المؤلِّفين الأول والأخير,** Authorship; First-last-author-emphasis norm (FLAE),NA,NA,NA
Sherpa Romeo (شيربا روميو) *,"** An online resource that collects and presents open access policies from publishers, from across the world, providing summaries of individual journal's copyright and open access archiving policies.  **",** [https://v2.sherpa.ac.uk/romeo/](https://v2.sherpa.ac.uk/romeo/),** Aleksandra Lazić,** Mahmoud Elsherif; Christopher Graham; Sam Parsons; Martin Vasilev,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie , Hala Alghamdi, Mohammed Mohsen",التَّعريف:** مصدر عبر الإنترنت يجمع، ويعرض سياسات الوصول المفتوح للنَّاشرين من جميع أنحاء العالم، ويقدِّم ملخَّصات لحقوق الطَّبع، والنَّشر، والأرشفة الخاصّة بكلِّ المجلَّة.  **المصطلحات ذات الصِّلة**: فترة الحظر، الوصول المفتوح، حاجز مالي، الطّباعة الأوليَّة، مستودع  البيانات.,** Embargo period; Open access; Paywall; Preprint; Repository,NA,NA,NA
Single-blind peer review (التحكيم أحاديَّ التَّعمية) *,"** Evaluation of research products by qualified experts where the reviewer(s) knows the identity of the author(s), but the reviewer(s) remains anonymous to the author(s).  **",** Largent and Snodgrass (2016),** Bradley Baker,** Ashley Blake; Christopher Graham; Helena Hartmann; Graham Reid,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** تقييم الأعمال البحثيَّة من قبل خبراء مؤهلين حيث يعرف المحكّم (أو المحكّمون) هويَّة المؤلِّف (أو المؤلفين)، لكن تبقى هوية المحكّم مجهولة بالنَّسبة للمؤلِّف.  **المصطلحات ذات الصِّلة:** تحكيم مجهول ، التّحكيم مزدوج التَّعمية، التحكيم المخفي ، التّحكيم المفتوح، تحكيم الأقران ، التّحكيم ثَّلاثيَّ التَّعمية.,** Anonymous review; Double-blind peer review; Masked review; Open Peer Review; Peer review; Triple-blind peer review,NA,NA,NA
Slow science (العلم البطيء) *,"** Adopting Open Scholarship practices leads to a longer research process overall, with more focus on transparency, reproducibility, replicability and quality, over the quantity of outputs. Slow Science opposes publish-or-perish culture and describes an academic system that allows time and resources to produce fewer higher-quality and transparent outputs, for instance prioritising researcher time towards collecting more data, more time to read the literature, think about how their findings fit the literature and documenting and sharing research materials instead of running additional studies.  **",NA,NA,** Adrien Fillon; Tamara Kalandadze; Sam Parsons Charlotte R. Pennington; Robert M Ross; Timo Roettger,"** Mai Helmy. **** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen",NA,"التَّعريف:** يؤدِّي تبني ممارسات المعرفة المفتوحة إلى عمليَّة بحث أطول مدةً في المجمل، مع تركيز أكبر  على الشَّفافيَّة، وقابليَّة التِّكرار، وإعادة الإنتاج، والجودة، بدلًا من كميَّة المخرجات، وتعارض عمليَّة العلم البطيء ثقافة ""النَّشر أو الفناء "" وتصف نظامًا أكاديميًا يوفِّر الوقت، والموارد لإنتاج عدد أقل من المخرجات، ولكنَّها عالية الجودة والشَّفافية. مثلًا تعطى الأولويَّة لوقت الباحث لجمع المزيد من البيانات، والمزيد من الوقت لقراءة الأدبيَّات، والتَّفكير في كيفيَّة تناسب النَّتائج التي توصَّلوا إليها مع الأدبيَّات، وتوثيق ومشاركة المواد البحثيَّة، بدلًا من إجراء دراسات إضافيَّة.  **المصطلحات ذات الصِّلة:** التَّعاون، هيكل الحوافز، النَّشر أو الفناء، ثقافة البحث، جودة البحث.",** collaboration; Incentive structure; Publish or Perish; research culture; research quality,"** http://slow-science.org/; Nelson et al., (2012); Frith (2020)",** Sonia Rishi,NA
"Society for Open, Reliable, and Transparent Ecology and Evolutionary biology (SORTEE) (جمعيَّة علم البيئة والبيولوجيا التَّطوريَّة المنفتحة والموثوقة والشَّفافة ) *","** SORTEE ([https://www.sortee.org/](https://www.sortee.org/)) is an international society with the aim of improving the transparency and reliability of research results in the fields of ecology, evolution, and related disciplines through cultural and institutional changes. SORTEE was launched in December 2020 to anyone interested in improving research in these disciplines, regardless of experience. The society is international in scope, membership, and objectives. As of May 2021, SORTEE comprises of over 600 members.  **",NA,NA,** Sarah Ashcroft-Jones; Mahmoud Elsherif; Charlotte R. Pennington; Graham Reid,"** Mai Helmy. **** Ahlam Ahmed, Ali H. Al-Hoorie, Mohammed Mohsen",NA,التَّعريف:** مجتمع دولي يهدف إلى تحسين شفافيَّة وموثوقيَّة نتائج البحوث في مجالات البيئة والتَّطور والتَّخصُّصات ذات الصِّلة من خلال التَّغييرات الثَّقافية والمؤسّسيَّة ([https://www.sortee.org/](https://www.sortee.org/)). تم إطلاق الجمعية في ديسمبر 2020 وهي متاحة لأي شخص مهتم بتحسين البحث في هذه التَّخصُّصات، بغض النَّظر عن الخبرة، فالجمعيَّة دوليَّة في نطاقها وعضويتها وأهدافها. تضم الجمعيَّة أكثر من 600 عضوا اعتبارًاًمن مايو 2021\.  **المصطلحات ذات الصِّلة:** جمعيَّة تطوير العلوم النَّفسيَّة,** Society for the Improvement of Psychological Science (SIPS),** [https://www.sortee.org/](https://www.sortee.org/),** Brice Beffara Bret; Dominique Roche,NA
Society for the Improvement of Psychological Science (SIPS) (جمعية تطويرالعلوم النَّفسيَّة) *,** A membership society founded to further promote improved methods and practices in the psychological research field. The society aims to complete its mission statement by enhancing the training of psychological researchers; by promoting research cultures that are more conducive to better quality research; by quantifying and empirically assessing the impact of such reforms; and by leading outreach events within and outside psychology to better the current state of research norms.  **,NA,NA,** Ashley Blake; Jade Pickering; Graham Reid; Flávio Azevedo,** Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** جمعيَّة تأسَّست لتعزيز الأساليب، والممارسات التي تحسِّن البحوث النَّفسيَّة. تهدف الجمعيَّة إلى تحقيق رسالتها من خلال تدريب الباحثين في علم النَّفس، وتعزيز الثَّقافة البحثيَّة التي تساعد على تحسين جودة البحوث، وتقييم وقياس تأثير هذه الإصلاحات تجريبيًا، وتنظيم أنشطة توعية داخل وخارج علم النَّفس؛ لتحسين معايير البحث العلمي الحاليَّة.  **المصطلحات ذات الصِّلة:** جمعيَّة علم البيئة والبيولوجيا التَّطوريَّة المنفتحة والموثوقة والشَّفافة,"** Society for Open, Reliable, and Transparent Ecology and Evolutionary biology (SORTEE)",** https://improvingpsych.org/,** Mahmoud Elsherif,NA
Social class (الطَّبقة الاجتماعيّة) *,"** Social class is usually measured using both objective and subjective measurements, as recommended by the American Psychological Association (American Psychological Association,Task Force on Socioeconomic Status, 2007). Unlike the conventional concept, which only considers one factor, either education or income (e.g., economic variables), an individual's social class is considered to be a combination of their education, income, occupational prestige, subjective social status, and self-identified social class. Social class is partly a cultural variable, as it is a stable variable and likely to change slowly over the years. Social class can have important implications to academic outcomes. An individual may have a high socio-economic status yet identify as a working class individual. Working class students tend to have different life circumstances and often more restrictive commitments than middle-class students, which make their integration with other students more difficult (Rubin, 2021). The lack of time and money is obstructive to their social experience at university. Working class students are more likely to work to support themselves, resulting in less time for academic activities and for socializing with other students as well as less money to purchase items linked to social experiences (e.g. food).  **",NA,NA,** Leticia Micheli; Eliza Woodward; Julika Wolska; Gerald Vineyard**;** Yu-Fang Yang,Mai Helmy.,"** Ahlam Ahmed, Ali H. Al-Hoorie, Asma Alzahrani, Mohammed Mohsen","التَّعريف:** عادةً ما يتم قياس الطبقة الاجتماعيَّة باستخدام القياسات الموضوعيَّة والذَّاتيَّة، على النَّحو الذي توصي به جمعيَّة علم النَّفس الأمريكيَّة (American Psychological Association,Task Force on Socioeconomic Status, 2007). وعلى عكس المفهوم التَّقليدي، الذي يأخذ بعين الاعتبار عاملًا واحدًا فقط، إما التَّعليم أو الدَّخل (مثلا المتغيرات الاقتصادية)، تعتبر الطبقة الاجتماعية للفرد مزيجًا من التعليم والدخل والمكانة المِهنية والحالة الاجتماعية الذاتية والوضع الاجتماعي المحدد ذاتيًا. وتعد الطَّبقة الاجتماعيَّة، جزئيًا، متغيرًا ثقافيًا؛ حيث إنَّها متغير مستقر قد يتغيَّر ببطء على مرِّ السِّنين. ويمكن أن يكون للطَّبقة الاجتماعيَّة آثارًا مهمَّة على النَّتائج الأكاديميَّة، فقد يتمتَّع الفرد بمكانة اجتماعيَّة واقتصاديَّة عالية مع تعريفه كفرد من الطَّبقة العاملة. ويميل طلاب الطَّبقة العاملة إلى أن تكون لديهم ظروف حياتيَّة مختلفة، وغالبًا ما تكون التزاماتهم أكثر تقييدًا من طلاب الطَّبقة المتوسِّطة، مما يجعل اندماجهم مع الطُّلاب الآخرين أكثر صعوبة (Rubin, 2021). كما إن ضيق الوقت والمال قد يعيق تجربتهم الاجتماعيَّة في الجامعة. وعادةً يعمل طلاب الطَّبقة العاملة؛ لأجل دعم أنفسهم، ممَّا يؤدي إلى تقليل وقت الأنشطة الأكاديميَّة، والتَّواصل الاجتماعي مع الطُّلاب الآخرين وكذلك امتلاك مال أقل لشراء العناصر المرتبطة بالتَّجارب الاجتماعيَّة (مثل الطَّعام).  **المصطلحات ذات الصِّلة:** الاندماج الاجتماعي",** Social integration,** Evans and Rubin (2021); Rubin et al. (2019); Rubin (2021); Saegert et al. (2007),** Mahmoud Elsherif,NA
Social integration (الاندماج الاجتماعيّ) *,"** Social integration is a multi-dimensional construct. In an academic context, social integration is related to the quantity and quality of the social interactions with staff and students, as well as the sense of connection and belonging to the university and the people within the institute. To be more specific, social support, trust, and connectedness are all variables that contribute to social integration. Social integration has important implications for academic outcomes and mental wellbeing (Evans & Rubin, 2021). Working class students are less likely to integrate with other students, since they have differing social and economic backgrounds and less disposable income. Thus they are not able to experience as many educational and fiscal opportunities than others. In turn, this can lead to poor mental health and feelings of ostracism (Rubin, 2021).  **",NA,NA,** Leticia Micheli; Eliza Woodward; Julika Wolska**;** Gerald Vineyard; Yu-Fang Yang; Flávio Azevedo,** Mai Helmy.,"** Ali H. Al-Hoorie, Alaa M. Saleh, Asma Alzahrani, Mohammed Mohsen","التَّعريف:** الاندماج الاجتماعي هو مفهوم متعدِّد الأبعاد. في السِّياق الأكاديمي، يرتبط الاندماج الاجتماعي بكميَّة ونوعيَّة التَّفاعلات الاجتماعيَّة مع الموظفين والطُّلاب، إضافة إلى الشُّعور بالارتباط والانتماء إلى الجامعة والأفراد فيها. ولكي نكون أكثر تحديدًا ، فإنَّ الدَّعم الاجتماعي والثِّقة والتَّرابط كلها متغيرات تساهم في الاندماج الاجتماعي. للاندماج الاجتماعي آثار مهمة على النَّتائج الأكاديميَّة والصِّحة العقليَّة (Evans & Rubin, 2021)؛ فيقل احتمال اندماج طلاب الطَّبقة العاملة مع الطُّلاب الآخرين؛ نظرًا لأنَّ لديهم خلفيَّات اجتماعيَّة واقتصاديَّة مختلفة ودخلًا أقل، وبالتَّالي فإنَّهم غير قادرين على تجربة عدد مماثل من الفرص التَّعليميَّة والماليَّة. وهذا بدوره يمكن أن يؤدي إلى تدهور الصِّحة العقليَّة والشُّعور بالنبذ ​​(Rubin, 2021).  **المصطلحات ذات الصِّلة:** الطَّبقة الاجتماعيَّة",** Social class,** Evans and Rubin (2021); Rubin et al. (2019); Rubin (2021),** Mahmoud Elsherif,NA
